GTRD peaks ID,UniProt ID,Cell Line,Treatment,Antibody,TFClass,Species,PubMed,GEO,ENCODE,Peak calls participated in analysis
PEAKS020716,REST_HUMAN,SK-N-SH,,NRSF, 2.3.4.0.27,Homo sapiens,,GSM1010735,wgEncodeEH002269,1000
PEAKS020717,ELF1_HUMAN,GM12878,,ELF1_(SC-631), 3.5.2.3.1,Homo sapiens,,GSM803496,wgEncodeEH001617,1000
PEAKS020720,SPI1_HUMAN,GM12878,,PU.1, 3.5.2.5.1,Homo sapiens,,GSM803531,wgEncodeEH001476,1000
PEAKS020721,ZBT7A_HUMAN,HepG2,,ZBTB7A_(SC-34508), 2.3.3.8.1,Homo sapiens,,GSM1010831,wgEncodeEH002296,1000
PEAKS020722,USF2_HUMAN,K562,,USF2, 1.2.6.2.2,Homo sapiens,,GSM935356,wgEncodeEH001797,1000
PEAKS020723,USF2_HUMAN,HeLa-S3,,USF2, 1.2.6.2.2,Homo sapiens,,GSM935561,wgEncodeEH001819,1000
PEAKS020724,IRF1_HUMAN,K562,IFNg6h,IRF1, 3.5.3.0.1,Homo sapiens,,GSM935549,wgEncodeEH001866,1000
PEAKS020728,REST_HUMAN,GM12878,,NRSF, 2.3.4.0.27,Homo sapiens,,GSM1010744,wgEncodeEH002314,1000
PEAKS020733,PBX3_HUMAN,GM12878,,Pbx3, 3.1.4.4.3,Homo sapiens,,GSM803532,wgEncodeEH001477,1000
PEAKS020734,CTCF_HUMAN,HUVEC,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM749674,GSM749749",wgEncodeEH000410,1000
PEAKS020736,E2F4_HUMAN,K562,,E2F4, 3.3.2.1.4,Homo sapiens,,GSM935600,wgEncodeEH000671,1000
PEAKS020738,TAF1_HUMAN,HeLa-S3,,TAF1, 4.1.3.0.5,Homo sapiens,,GSM803455,wgEncodeEH001505,1000
PEAKS020739,REST_HUMAN,PANC-1,,NRSF, 2.3.4.0.27,Homo sapiens,,GSM1010792,wgEncodeEH002280,1000
PEAKS020740,CTCF_HUMAN,HSMMtube,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM733783,wgEncodeEH001000,1000
PEAKS020742,SP1_HUMAN,GM12878,,SP1, 2.3.1.1.1,Homo sapiens,,GSM803363,wgEncodeEH001496,1000
PEAKS020743,STAT1_HUMAN,K562,IFNg30,STAT1, 6.2.1.0.1,Homo sapiens,,GSM935487,wgEncodeEH000760,1000
PEAKS020746,EGR1_HUMAN,K562,,Egr-1, 2.3.1.3.1,Homo sapiens,,GSM803414,wgEncodeEH001646,1000
PEAKS020749,TBP_HUMAN,HepG2,,TBP, 8.1.1.0.1,Homo sapiens,,GSM935280,wgEncodeEH001793,1000
PEAKS020750,FOSL1_HUMAN,K562,,FOSL1_(SC-183), 1.1.2.1.3,Homo sapiens,,GSM803439,wgEncodeEH001637,1000
PEAKS020751,E2F6_HUMAN,HeLa-S3,,E2F6, 3.3.2.1.6,Homo sapiens,,GSM935476,wgEncodeEH000692,1000
PEAKS020752,GATA2_HUMAN,SH-SY5Y,,GATA-2, 2.2.1.1.2,Homo sapiens,,GSM935589,wgEncodeEH001770,1000
PEAKS020754,USF1_HUMAN,A549,EtOH_0.02pct,USF-1, 1.2.6.2.1,Homo sapiens,,GSM803429,wgEncodeEH001539,1000
PEAKS020756,MYC_HUMAN,K562,,c-Myc, 1.2.6.5.1,Homo sapiens,,GSM822310,wgEncodeEH000536,1000
PEAKS020757,TAF1_HUMAN,GM12878,,TAF1, 4.1.3.0.5,Homo sapiens,,GSM803537,wgEncodeEH001478,1000
PEAKS020759,CTCF_HUMAN,MCF-7,vehicle,CTCF, 2.3.3.50.1,Homo sapiens,,GSM822308,wgEncodeEH001132,1000
PEAKS020761,REST_HUMAN,K562,,NRSF, 2.3.4.0.27,Homo sapiens,,GSM803440,wgEncodeEH001638,1000
PEAKS020762,PAX5_HUMAN,GM12878,,PAX5-C20, 3.2.2.2.2,Homo sapiens,,GSM803391,wgEncodeEH001489,1000
PEAKS020763,SRBP2_HUMAN,HepG2,pravastatin,SREBP2, 1.2.6.3.2,Homo sapiens,,GSM935314,wgEncodeEH000643,1000
PEAKS020768,CTCF_HUMAN,WI-38,,CTCF, 2.3.3.50.1,Homo sapiens,,"GSM1022637,GSM1022634",wgEncodeEH001902,1000
PEAKS020770,FOS_HUMAN,MCF10A-Er-Src,4OHTAM_1uM_12hr,c-Fos, 1.1.2.1.1,Homo sapiens,,GSM935398,wgEncodeEH002837,1000
PEAKS020772,ATF3_HUMAN,GM12878,,ATF3, 1.1.2.2.1,Homo sapiens,,GSM803508,wgEncodeEH001562,1000
PEAKS020774,MAX_HUMAN,A549,,Max, 1.2.6.5.5,Homo sapiens,,GSM935298,wgEncodeEH002820,1000
PEAKS020776,TEAD4_HUMAN,MCF-7,,TEAD4_(SC-101184), 3.6.1.0.2,Homo sapiens,,GSM1010860,wgEncodeEH003284,1000
PEAKS020779,FOXA1_HUMAN,A549,DEX_100nM,FOXA1_(SC-101058), 3.3.1.1.1,Homo sapiens,,GSM1010826,wgEncodeEH002293,1000
PEAKS020781,NFAC1_HUMAN,GM12878,,NFATC1_(SC-17834), 6.1.3.0.1,Homo sapiens,,GSM1010779,wgEncodeEH002307,1000
PEAKS020782,GCR_HUMAN,A549,DEX_5nM,GR, 2.1.1.1.1,Homo sapiens,,GSM803359,wgEncodeEH001492,1000
PEAKS020783,GATA3_HUMAN,SK-N-SH,,GATA3_(SC-268), 2.2.1.1.3,Homo sapiens,,GSM1010738,wgEncodeEH003249,1000
PEAKS020785,GCR_HUMAN,A549,DEX_5nM,GR, 2.1.1.1.1,Homo sapiens,,GSM803359,wgEncodeEH001492,1000
PEAKS020786,ESR1_HUMAN,ECC-1,BPA_100nM,ERalpha_a, 2.1.1.2.1,Homo sapiens,,GSM1010747,wgEncodeEH002313,1000
PEAKS020787,FOSL2_HUMAN,MCF-7,,FOSL2, 1.1.2.1.4,Homo sapiens,,GSM1010768,wgEncodeEH003278,1000
PEAKS020788,CTCF_HUMAN,GM12868,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM849300,wgEncodeEH002051,1000
PEAKS020790,CTCF_HUMAN,Lung_OC,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM1006882,wgEncodeEH003462,1000
PEAKS020791,TF65_HUMAN,GM18951,TNFa,NFKB, 6.1.1.2.1,Homo sapiens,,GSM935531,wgEncodeEH000738,1000
PEAKS020793,COT2_HUMAN,MCF-7,,NR2F2_(SC-271940), 2.1.3.5.2,Homo sapiens,,GSM1010837,wgEncodeEH003294,1000
PEAKS020794,CTCF_HUMAN,HepG2,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM733645,wgEncodeEH000080,1000
PEAKS020795,NCOR1_HUMAN,K562,,NCoR, 3.5.1.2.1,Homo sapiens,,GSM1003565,wgEncodeEH003108,1000
PEAKS020796,CREB1_HUMAN,HepG2,,CREB1_(SC-240), 1.1.7.1.1,Homo sapiens,,GSM1010808,wgEncodeEH003312,1000
PEAKS020797,CTCF_HUMAN,A549,EtOH_0.02pct,CTCF, 2.3.3.50.1,Homo sapiens,,GSM1003581,wgEncodeEH003115,1000
PEAKS020800,TYY1_HUMAN,K562,,YY1_(SC-281), 2.3.3.9.1,Homo sapiens,,GSM803446,wgEncodeEH001584,1000
PEAKS020801,CREB1_HUMAN,K562,,CREB1_(SC-240), 1.1.7.1.1,Homo sapiens,,GSM1010890,wgEncodeEH003230,1000
PEAKS020802,CEBPD_HUMAN,K562,,CEBPD_(SC-636), 1.1.8.1.4,Homo sapiens,,GSM1010906,wgEncodeEH003432,1000
PEAKS020805,CTCF_HUMAN,MCF-7,serum_starved_media,CTCF, 2.3.3.50.1,Homo sapiens,,GSM1006878,wgEncodeEH003437,1000
PEAKS020807,CTCF_HUMAN,Kidney_OC,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM1006886,wgEncodeEH003461,1000
PEAKS020809,REST_HUMAN,K562,,REST, 2.3.4.0.27,Homo sapiens,,GSM1003507,wgEncodeEH003096,1000
PEAKS020811,TEAD4_HUMAN,HCT-116,,TEAD4_(SC-101184), 3.6.1.0.2,Homo sapiens,,GSM1010772,wgEncodeEH003309,1000
PEAKS020812,TEAD4_HUMAN,HCT-116,,TEAD4_(SC-101184), 3.6.1.0.2,Homo sapiens,,GSM1010772,wgEncodeEH003309,1000
PEAKS020813,CTCF_HUMAN,GM13977,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM1006869,wgEncodeEH003456,1000
PEAKS020814,USF1_HUMAN,SK-N-SH,,USF-1, 1.2.6.2.1,Homo sapiens,,GSM1010806,wgEncodeEH003269,1000
PEAKS020815,REST_HUMAN,ECC-1,,NRSF, 2.3.4.0.27,Homo sapiens,,GSM1010841,wgEncodeEH003290,1000
PEAKS020817,CEBPB_HUMAN,ECC-1,,CEBPB_(SC-150), 1.1.8.1.2,Homo sapiens,,GSM1010802,wgEncodeEH003262,1000
PEAKS020818,GCR_HUMAN,ECC-1,DEX_100nM,GR, 2.1.1.1.1,Homo sapiens,,GSM803340,wgEncodeEH001540,1000
PEAKS020821,GABPA_HUMAN,MCF-7,,GABP, 3.5.2.1.4,Homo sapiens,,GSM1010864,wgEncodeEH003280,1000
PEAKS020822,E2F6_HUMAN,H1-hESC,,E2F6, 3.3.2.1.6,Homo sapiens,,GSM1010899,wgEncodeEH003224,1000
PEAKS020823,GCR_HUMAN,A549,DEX_500pM,GR, 2.1.1.1.1,Homo sapiens,,GSM803357,wgEncodeEH001490,1000
PEAKS020824,GCR_HUMAN,A549,DEX_500pM,GR, 2.1.1.1.1,Homo sapiens,,GSM803357,wgEncodeEH001490,1000
PEAKS020825,MEF2A_HUMAN,SK-N-SH,,MEF2A, 5.1.1.1.1,Homo sapiens,,GSM1010834,wgEncodeEH003298,1000
PEAKS020827,MYC_HUMAN,HepG2,,c-Myc, 1.2.6.5.1,Homo sapiens,,GSM822291,wgEncodeEH000545,1000
PEAKS020829,CTCF_HUMAN,GM12870,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM849302,wgEncodeEH002053,1000
PEAKS020831,JUND_HUMAN,HCT-116,,JunD, 1.1.1.1.3,Homo sapiens,,GSM1010847,wgEncodeEH003216,1000
PEAKS020833,JUND_HUMAN,HCT-116,,JunD, 1.1.1.1.3,Homo sapiens,,GSM1010847,wgEncodeEH003216,1000
PEAKS020834,TEAD4_HUMAN,A549,,TEAD4_(SC-101184), 3.6.1.0.2,Homo sapiens,,GSM1010868,wgEncodeEH003273,1000
PEAKS020835,REST_HUMAN,H1-neurons,,NRSF, 2.3.4.0.27,Homo sapiens,,GSM1010804,wgEncodeEH003264,1000
PEAKS020836,MAX_HUMAN,SK-N-SH,,Max, 1.2.6.5.5,Homo sapiens,,GSM1010835,wgEncodeEH003299,1000
PEAKS020837,TF65_HUMAN,GM19099,TNFa,NFKB, 6.1.1.2.1,Homo sapiens,,GSM935273,wgEncodeEH000717,1000
PEAKS020839,ATF2_HUMAN,GM12878,,ATF2_(SC-81188), 1.1.1.3.1,Homo sapiens,,GSM1010780,wgEncodeEH002306,1000
PEAKS020840,ESR1_HUMAN,T-47D,Estradiol_10nM,ERalpha_a, 2.1.1.2.1,Homo sapiens,,GSM803539,wgEncodeEH001577,1000
PEAKS020841,SP1_HUMAN,HCT-116,,SP1, 2.3.1.1.1,Homo sapiens,,GSM1010902,wgEncodeEH003221,1000
PEAKS020842,SP1_HUMAN,HCT-116,,SP1, 2.3.1.1.1,Homo sapiens,,GSM1010902,wgEncodeEH003221,1000
PEAKS020843,HTF4_HUMAN,SK-N-SH,,TCF12, 1.2.1.0.3,Homo sapiens,,GSM1010900,wgEncodeEH003227,1000
PEAKS020845,GCR_HUMAN,ECC-1,DEX_100nM,GR, 2.1.1.1.1,Homo sapiens,,GSM803340,wgEncodeEH001540,1000
PEAKS020846,TEAD4_HUMAN,MCF-7,,TEAD4_(SC-101184), 3.6.1.0.2,Homo sapiens,,GSM1010860,wgEncodeEH003284,1000
PEAKS020848,CTCF_HUMAN,HFF,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM1022644,wgEncodeEH002547,1000
PEAKS020850,ELF1_HUMAN,MCF-7,,ELF1_(SC-631), 3.5.2.3.1,Homo sapiens,,GSM1010764,wgEncodeEH003234,1000
PEAKS020852,CTCF_HUMAN,HepG2,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM822287,wgEncodeEH000543,1000
PEAKS020856,JUND_HUMAN,A549,EtOH_0.02pct,JunD, 1.1.1.1.3,Homo sapiens,,GSM1010723,wgEncodeEH002327,1000
PEAKS020858,ELF1_HUMAN,SK-N-SH,,ELF1_(SC-631), 3.5.2.3.1,Homo sapiens,,GSM1010751,wgEncodeEH003242,1000
PEAKS020860,COT2_HUMAN,MCF-7,,NR2F2_(SC-271940), 2.1.3.5.2,Homo sapiens,,GSM1010837,wgEncodeEH003294,1000
PEAKS020861,REST_HUMAN,MCF-7,,NRSF, 2.3.4.0.27,Homo sapiens,,GSM1010891,wgEncodeEH003231,1000
PEAKS020862,CEBPB_HUMAN,A549,,CEBPB_(SC-150), 1.1.8.1.2,Homo sapiens,,GSM1010871,wgEncodeEH003271,1000
PEAKS020864,CTCF_HUMAN,A549,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM822289,wgEncodeEH002078,1000
PEAKS020865,NFIC_HUMAN,SK-N-SH,,NFIC_(SC-81335), 7.1.2.0.3,Homo sapiens,,GSM1010880,wgEncodeEH003237,1000
PEAKS020866,CTCF_HUMAN,LNCaP,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM1006874,wgEncodeEH003459,1000
PEAKS020867,JUND_HUMAN,SK-N-SH,,JunD, 1.1.1.1.3,Homo sapiens,,GSM1010901,wgEncodeEH003226,1000
PEAKS020869,CEBPD_HUMAN,K562,,CEBPD_(SC-636), 1.1.8.1.4,Homo sapiens,,GSM1010906,wgEncodeEH003432,1000
PEAKS020871,CEBPB_HUMAN,A549,,CEBPB_(SC-150), 1.1.8.1.2,Homo sapiens,,GSM1010871,wgEncodeEH003271,1000
PEAKS020873,FOXA2_HUMAN,A549,EtOH_0.02pct,FOXA2_(SC-6554), 3.3.1.1.2,Homo sapiens,,GSM1010724,wgEncodeEH002326,1000
PEAKS020875,SRF_HUMAN,HCT-116,,SRF, 5.1.2.0.1,Homo sapiens,,GSM1010851,wgEncodeEH003218,1000
PEAKS020876,SRF_HUMAN,HCT-116,,SRF, 5.1.2.0.1,Homo sapiens,,GSM1010851,wgEncodeEH003218,1000
PEAKS020877,GCR_HUMAN,A549,DEX_100nM,GR, 2.1.1.1.1,Homo sapiens,,GSM803371,wgEncodeEH001555,1000
PEAKS020878,ESR1_HUMAN,T-47D,Genistein_100nM,ERalpha_a, 2.1.1.2.1,Homo sapiens,,GSM803374,wgEncodeEH001556,1000
PEAKS020882,FOSL2_HUMAN,SK-N-SH,,FOSL2, 1.1.2.1.4,Homo sapiens,,GSM1010840,wgEncodeEH003297,1000
PEAKS020883,CTCF_HUMAN,K562,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM733719,wgEncodeEH000042,1000
PEAKS020884,HTF4_HUMAN,ECC-1,,TCF12, 1.2.1.0.3,Homo sapiens,,GSM1010842,wgEncodeEH003291,1000
PEAKS020885,GATA3_HUMAN,MCF-7,,GATA3_(SC-268), 2.2.1.1.3,Homo sapiens,,GSM1010783,wgEncodeEH003235,1000
PEAKS020887,CTCF_HUMAN,GM20000,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM1006873,wgEncodeEH003458,1000
PEAKS020888,CEBPB_HUMAN,HCT-116,,CEBPB_(SC-150), 1.1.8.1.2,Homo sapiens,,GSM1010852,wgEncodeEH003219,1000
PEAKS020889,MTA3_HUMAN,GM12878,,MTA3_(SC-81325), 2.2.1.2.7,Homo sapiens,,GSM1010729,wgEncodeEH002329,1000
PEAKS020890,FOXM1_HUMAN,SK-N-SH,,FOXM1_(SC-502), 3.3.1.13.1,Homo sapiens,,GSM1010750,wgEncodeEH003243,1000
PEAKS020891,MYC_HUMAN,MCF-7,serum_stimulated_media,c-Myc, 1.2.6.5.1,Homo sapiens,,GSM1006877,wgEncodeEH003436,1000
PEAKS020892,TEAD4_HUMAN,A549,,TEAD4_(SC-101184), 3.6.1.0.2,Homo sapiens,,GSM1010868,wgEncodeEH003273,1000
PEAKS020893,CTCF_HUMAN,GM19239,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM822277,wgEncodeEH000571,1000
PEAKS020896,GATA3_HUMAN,A549,,GATA3_(SC-268), 2.2.1.1.3,Homo sapiens,,GSM1010727,wgEncodeEH003250,1000
PEAKS020897,TYY1_HUMAN,ECC-1,,YY1_(SC-281), 2.3.3.9.1,Homo sapiens,,GSM1010753,wgEncodeEH003240,1000
PEAKS020898,CREB1_HUMAN,GM12878,,CREB1_(SC-240), 1.1.7.1.1,Homo sapiens,,GSM1010760,wgEncodeEH003275,1000
PEAKS020899,MYC_HUMAN,H1-hESC,,c-Myc, 1.2.6.5.1,Homo sapiens,,GSM822274,wgEncodeEH000596,1000
PEAKS020901,CEBPB_HUMAN,ECC-1,,CEBPB_(SC-150), 1.1.8.1.2,Homo sapiens,,GSM1010802,wgEncodeEH003262,1000
PEAKS020902,ESR1_HUMAN,ECC-1,BPA_100nM,ERalpha_a, 2.1.1.2.1,Homo sapiens,,GSM1010747,wgEncodeEH002313,1000
PEAKS020904,GCR_HUMAN,A549,DEX_50nM,GR, 2.1.1.1.1,Homo sapiens,,GSM803358,wgEncodeEH001491,1000
PEAKS020905,GCR_HUMAN,A549,DEX_50nM,GR, 2.1.1.1.1,Homo sapiens,,GSM803358,wgEncodeEH001491,1000
PEAKS020907,RXRA_HUMAN,SK-N-SH,,RXRA, 2.1.3.1.1,Homo sapiens,,GSM1010767,wgEncodeEH003302,1000
PEAKS020909,MEF2A_HUMAN,SK-N-SH,,MEF2A, 5.1.1.1.1,Homo sapiens,,GSM1010834,wgEncodeEH003298,1000
PEAKS020910,ESR1_HUMAN,T-47D,Estradiol_10nM,ERalpha_a, 2.1.1.2.1,Homo sapiens,,GSM803539,wgEncodeEH001577,1000
PEAKS020912,FOSL2_HUMAN,MCF-7,,FOSL2, 1.1.2.1.4,Homo sapiens,,GSM1010768,wgEncodeEH003278,1000
PEAKS020913,CREB1_HUMAN,A549,DEX_100nM,CREB1_(SC-240), 1.1.7.1.1,Homo sapiens,,GSM1010719,wgEncodeEH002323,1000
PEAKS020915,FOXA2_HUMAN,A549,EtOH_0.02pct,FOXA2_(SC-6554), 3.3.1.1.2,Homo sapiens,,GSM1010724,wgEncodeEH002326,1000
PEAKS020916,JUND_HUMAN,MCF-7,,JunD, 1.1.1.1.3,Homo sapiens,,GSM1010892,wgEncodeEH003236,1000
PEAKS020917,EGR1_HUMAN,ECC-1,,Egr-1, 2.3.1.3.1,Homo sapiens,,GSM1010888,wgEncodeEH003232,1000
PEAKS020919,GATA3_HUMAN,SK-N-SH,,GATA3_(SC-268), 2.2.1.1.3,Homo sapiens,,GSM1010738,wgEncodeEH003249,1000
PEAKS020920,TF65_HUMAN,GM12891,TNFa,NFKB, 6.1.1.2.1,Homo sapiens,,GSM935526,wgEncodeEH000735,1000
PEAKS020923,FOXM1_HUMAN,GM12878,,FOXM1_(SC-502), 3.3.1.13.1,Homo sapiens,,GSM1010731,wgEncodeEH002529,1000
PEAKS020924,REST_HUMAN,ECC-1,,NRSF, 2.3.4.0.27,Homo sapiens,,GSM1010841,wgEncodeEH003290,1000
PEAKS020925,SRF_HUMAN,ECC-1,,SRF, 5.1.2.0.1,Homo sapiens,,GSM1010762,wgEncodeEH003245,1000
PEAKS020926,GATA3_HUMAN,A549,,GATA3_(SC-268), 2.2.1.1.3,Homo sapiens,,GSM1010727,wgEncodeEH003250,1000
PEAKS020928,ESR1_HUMAN,ECC-1,Genistein_100nM,ERalpha_a, 2.1.1.2.1,Homo sapiens,,GSM803541,wgEncodeEH001575,1000
PEAKS020930,TF65_HUMAN,GM12892,TNFa,NFKB, 6.1.1.2.1,Homo sapiens,,GSM935285,wgEncodeEH000712,1000
PEAKS020931,ESR1_HUMAN,T-47D,Genistein_100nM,ERalpha_a, 2.1.1.2.1,Homo sapiens,,GSM803374,wgEncodeEH001556,1000
PEAKS020932,CTCF_HUMAN,Monocytes-CD14+_RO01746,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM1003508,wgEncodeEH003097,1000
PEAKS020933,CTCF_HUMAN,A549,DEX_100nM,CTCF, 2.3.3.50.1,Homo sapiens,,GSM1003582,wgEncodeEH003114,1000
PEAKS020936,FOXM1_HUMAN,ECC-1,,FOXM1_(SC-502), 3.3.1.13.1,Homo sapiens,,GSM1010856,wgEncodeEH003288,1000
PEAKS020937,CTCF_HUMAN,NHEK,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM822271,wgEncodeEH000559,1000
PEAKS020938,CTCF_HUMAN,MCF-7,,CTCF_(SC-5916), 2.3.3.50.1,Homo sapiens,,GSM1010734,wgEncodeEH003257,1000
PEAKS020939,ZEB1_HUMAN,HepG2,,ZEB1_(SC-25388), 3.1.8.3.1,Homo sapiens,,GSM1010809,wgEncodeEH003315,1000
PEAKS020941,CREB1_HUMAN,HepG2,,CREB1_(SC-240), 1.1.7.1.1,Homo sapiens,,GSM1010808,wgEncodeEH003312,1000
PEAKS020942,ELF1_HUMAN,SK-N-SH,,ELF1_(SC-631), 3.5.2.3.1,Homo sapiens,,GSM1010751,wgEncodeEH003242,1000
PEAKS020943,MAX_HUMAN,MCF-7,,Max, 1.2.6.5.5,Homo sapiens,,GSM1010863,wgEncodeEH003281,1000
PEAKS020946,PBX3_HUMAN,SK-N-SH,,Pbx3, 3.1.4.4.3,Homo sapiens,,GSM1010887,wgEncodeEH003300,1000
PEAKS020947,ESR1_HUMAN,ECC-1,Genistein_100nM,ERalpha_a, 2.1.1.2.1,Homo sapiens,,GSM803541,wgEncodeEH001575,1000
PEAKS020948,GCR_HUMAN,A549,DEX_100nM,GR, 2.1.1.1.1,Homo sapiens,,GSM803371,wgEncodeEH001555,1000
PEAKS020949,TAF1_HUMAN,ECC-1,,TAF1, 4.1.3.0.5,Homo sapiens,,GSM1010733,wgEncodeEH003256,1000
PEAKS020950,KDM5A_HUMAN,H1-hESC,,JARID1A_(ab26049), 3.7.1.6.1,Homo sapiens,,GSM1003446,wgEncodeEH002096,1000
PEAKS020951,MAX_HUMAN,SK-N-SH,,Max, 1.2.6.5.5,Homo sapiens,,GSM1010835,wgEncodeEH003299,1000
PEAKS020952,FOXM1_HUMAN,MCF-7,,FOXM1_(SC-502), 3.3.1.13.1,Homo sapiens,,GSM1010769,wgEncodeEH003279,1000
PEAKS020953,MYC_HUMAN,MCF-7,serum_starved_media,c-Myc, 1.2.6.5.1,Homo sapiens,,GSM1006866,wgEncodeEH003439,1000
PEAKS020957,PBX3_HUMAN,SK-N-SH,,Pbx3, 3.1.4.4.3,Homo sapiens,,GSM1010887,wgEncodeEH003300,1000
PEAKS020958,CTCF_HUMAN,GM12892,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM822299,wgEncodeEH000562,1000
PEAKS020959,HTF4_HUMAN,ECC-1,,TCF12, 1.2.1.0.3,Homo sapiens,,GSM1010842,wgEncodeEH003291,1000
PEAKS020960,JUND_HUMAN,SK-N-SH,,JunD, 1.1.1.1.3,Homo sapiens,,GSM1010901,wgEncodeEH003226,1000
PEAKS020962,SPI1_HUMAN,HL-60,,PU.1, 3.5.2.5.1,Homo sapiens,,GSM1010843,wgEncodeEH003292,1000
PEAKS020964,ZEB1_HUMAN,HepG2,,ZEB1_(SC-25388), 3.1.8.3.1,Homo sapiens,,GSM1010809,wgEncodeEH003315,1000
PEAKS020965,ESR1_HUMAN,ECC-1,Estradiol_10nM,ERalpha_a, 2.1.1.2.1,Homo sapiens,,GSM803422,wgEncodeEH001536,1000
PEAKS020967,CTCF_HUMAN,GM10266,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM1006870,wgEncodeEH003457,1000
PEAKS020968,MAX_HUMAN,ECC-1,,Max, 1.2.6.5.5,Homo sapiens,,GSM1010807,wgEncodeEH003268,1000
PEAKS020969,CTCF_HUMAN,Spleen_OC,,CTCF, 2.3.3.50.1,Homo sapiens,,GSM1006883,wgEncodeEH003464,1000
PEAKS020970,JUND_HUMAN,A549,EtOH_0.02pct,JunD, 1.1.1.1.3,Homo sapiens,,GSM1010723,wgEncodeEH002327,1000
PEAKS020971,TEAD4_HUMAN,H1-hESC,,TEAD4_(SC-101184), 3.6.1.0.2,Homo sapiens,,GSM1010845,wgEncodeEH003214,1000
PEAKS020972,TEAD4_HUMAN,SK-N-SH,,TEAD4_(SC-101184), 3.6.1.0.2,Homo sapiens,,GSM1010858,wgEncodeEH003286,1000
PEAKS020973,GABPA_HUMAN,MCF-7,,GABP, 3.5.2.1.4,Homo sapiens,,GSM1010864,wgEncodeEH003280,1000
PEAKS020975,MAX_HUMAN,HepG2,,Max, 1.2.6.5.5,Homo sapiens,,GSM1010865,wgEncodeEH003254,1000
PEAKS020976,NFIC_HUMAN,GM12878,,NFIC_(SC-81335), 7.1.2.0.3,Homo sapiens,,GSM1010881,wgEncodeEH002343,1000
PEAKS020979,TAF1_HUMAN,H1-neurons,,TAF1, 4.1.3.0.5,Homo sapiens,,GSM1010805,wgEncodeEH003266,1000
PEAKS020980,PBX3_HUMAN,A549,,Pbx3, 3.1.4.4.3,Homo sapiens,,GSM1010755,wgEncodeEH003255,1000
PEAKS020981,NFIC_HUMAN,SK-N-SH,,NFIC_(SC-81335), 7.1.2.0.3,Homo sapiens,,GSM1010880,wgEncodeEH003237,1000
PEAKS020983,CTCF_HUMAN,LNCaP,androgen,CTCF, 2.3.3.50.1,Homo sapiens,,GSM1006887,wgEncodeEH003460,1000
PEAKS020985,CEBPB_HUMAN,GM12878,,CEBPB_(SC-150), 1.1.8.1.2,Homo sapiens,,GSM1010850,wgEncodeEH003212,1000
PEAKS020987,MAX_HUMAN,H1-hESC,,Max, 1.2.6.5.5,Homo sapiens,,GSM1010898,wgEncodeEH003225,1000
PEAKS020988,FOSL1_HUMAN,HCT-116,,FOSL1_(SC-183), 1.1.2.1.3,Homo sapiens,,GSM1010756,wgEncodeEH003246,1000
PEAKS020989,FOSL1_HUMAN,HCT-116,,FOSL1_(SC-183), 1.1.2.1.3,Homo sapiens,,GSM1010756,wgEncodeEH003246,1000
PEAKS020990,MAX_HUMAN,HCT-116,,Max, 1.2.6.5.5,Homo sapiens,,GSM1010904,wgEncodeEH003223,1000
PEAKS020991,MAX_HUMAN,HCT-116,,Max, 1.2.6.5.5,Homo sapiens,,GSM1010904,wgEncodeEH003223,1000
PEAKS020992,FOXM1_HUMAN,ECC-1,,FOXM1_(SC-502), 3.3.1.13.1,Homo sapiens,,GSM1010856,wgEncodeEH003288,1000
PEAKS020993,EGR1_HUMAN,HCT-116,,Egr-1, 2.3.1.3.1,Homo sapiens,,GSM1010846,wgEncodeEH003215,1000
PEAKS020994,EGR1_HUMAN,HCT-116,,Egr-1, 2.3.1.3.1,Homo sapiens,,GSM1010846,wgEncodeEH003215,1000
PEAKS020995,NSD2_HUMAN,K562,,NSD2_(ab75359), 4.1.5.0.1,Homo sapiens,,GSM1003492,wgEncodeEH003140,1000
PEAKS020996,STA5A_HUMAN,GM12878,,STAT5A_(SC-74442), 6.2.1.0.5,Homo sapiens,,GSM1010721,wgEncodeEH002321,1000
PEAKS020997,SPI1_HUMAN,HL-60,,PU.1, 3.5.2.5.1,Homo sapiens,,GSM1010843,wgEncodeEH003292,1000
PEAKS020999,REST_HUMAN,PANC-1,,NRSF, 2.3.4.0.27,Homo sapiens,,GSM1010859,wgEncodeEH003285,1000
